****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 12:17:03 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net323                      1.80    0.004    0.323    0.0001   7.457e-10  a
net223                      1.80    0.017    0.971    0.27e-4  7.438e-10  a
net987                      1.80    0.026    0.000    0.17e-4  7.285e-10  a
net895                      1.80    0.012    0.583    0.37e-4  7.156e-10  a
net293                      1.80    0.007    0.519    0.62e-4  7.105e-10  a
clknet_0_net965             1.80    0.017    0.941    0.25e-4  6.967e-10  a
net869                      1.80    0.013    0.487    0.32e-4  6.817e-10  a
net564                      1.80    0.006    0.378    0.75e-4  6.724e-10  a
net336                      1.80    0.003    0.173    0.0001   6.694e-10  a
net100                      1.80    0.009    0.957    0.46e-4  6.606e-10  a
net218                      1.80    0.006    0.709    0.71e-4  6.589e-10  a
net87                       1.80    0.025    0.981    0.16e-4  6.457e-10  a
net1073                     1.80    0.003    0.834    0.0001   6.090e-10  a
net37                       1.80    0.009    0.886    0.42e-4  6.013e-10  a
net89                       1.80    0.033    0.993    0.11e-4  5.880e-10  a
net1111                     1.80    0.023    0.981    0.16e-4  5.861e-10  a
net358                      1.80    0.006    0.000    0.58e-4  5.824e-10  a
net633                      1.80    0.005    0.901    0.74e-4  5.695e-10  a
net126                      1.80    0.004    0.739    0.90e-4  5.660e-10  a
net420                      1.80    0.020    0.000    0.17e-4  5.659e-10  a
net965                      1.80    0.014    0.941    0.25e-4  5.596e-10  a
net133                      1.80    0.016    0.422    0.20e-4  5.545e-10  a
clknet_1_1__leaf_net330     1.80    0.015    0.000    0.23e-4  5.541e-10  a
net304                      1.80    0.007    0.055    0.47e-4  5.524e-10  a
net330                      1.80    0.014    0.000    0.23e-4  5.509e-10  a
clknet_1_0__leaf_net52      1.80    0.007    0.000    0.46e-4  5.462e-10  a
clknet_1_0__leaf_net965     1.80    0.013    0.941    0.25e-4  5.427e-10  a
net150                      1.80    0.014    0.035    0.24e-4  5.389e-10  a
net890                      1.80    0.014    0.427    0.23e-4  5.388e-10  a
net993                      1.80    0.051    0.985    0.65e-5  5.361e-10  a
clknet_0_net145             1.80    0.019    0.029    0.18e-4  5.301e-10  a
net27                       1.80    0.006    0.067    0.50e-4  5.103e-10  a
net272                      1.80    0.011    0.043    0.28e-4  5.053e-10  a
net538                      1.80    0.003    0.358    0.91e-4  5.034e-10  a
net86                       1.80    0.019    0.981    0.16e-4  5.026e-10  a
clknet_1_1__leaf_net67      1.80    0.003    0.308    0.94e-4  4.973e-10  a
net216                      1.80    0.003    0.485    0.94e-4  4.883e-10  a
net81                       1.80    0.018    0.981    0.16e-4  4.710e-10  a
net554                      1.80    0.029    0.422    1.00e-5  4.644e-10  a
net637                      1.80    0.005    0.694    0.63e-4  4.626e-10  a
net11                       1.80    0.015    0.984    0.18e-4  4.397e-10  a
net356                      1.80    0.004    0.735    0.58e-4  4.177e-10  a
net337                      1.80    0.004    0.743    0.57e-4  4.162e-10  a
net445                      1.80    0.007    0.711    0.34e-4  4.097e-10  a
net136                      1.80    0.007    0.846    0.38e-4  4.081e-10  a
net1068                     1.80    0.016    0.981    0.16e-4  4.073e-10  a
net421                      1.80    0.031    0.981    0.80e-5  4.052e-10  a
